"BldrID"	"Builder"	"DBA"	"Active"	"MailAddr1"	"MailAddr2"	"MailCity"	"MailState"	"MailZip"	"Web_Address"	"VendorNo"	"ChargeNo"	"SoalrChargeNo"	"SiteCity"	"SiteState"	"SiteZip"	"Bldr_Comment"	"Phone"	"Phone2"	"Fax"	"PayPoint"	"SiteAddr"
"ABB01"	"AB Builders"	" "	0	"725 E. Main St."	" "	"Somerton"	"AZ"	"85364"	" "	" "	"DSM2044"	"RPM1211"				" "	"928-941-2479"	"000-000-0000"	"000-000-0000"	" "
"ANT01"	"Anthony B. Grahame"	"BuilditGreen, Corp."	0	"1045 Longview Dr."		"Prescott"	"AZ"	"86305"			"DSM2044"	"RPM1211"				"a.k.a. Tony Grahame, Instructor at Yavapai College"
"ASH01"	"Ashmor LLC"	"Ashmor Homes"	0	"PO Box 2329"		"Arizona City"	"AZ"	"85223"			"DSM2044"	"RPM1211"		"AZ"
"ASH02"	"Ashton Woods Homes"	" "	1	"6991 E Camelback Rd"	"Suite 300"	"Scottsdale"	"AZ"	"85251"	" "	" "	"DSM2044"	"RPM1211"				" "	"480-515-9955"	"000-000-0000"	"480-905-3141"	" "
"BEA01"	"Beazer Homes"	" "	1	"1621 W. Rio Salado Pkwy"	"103"	"Tempe"	"AZ"	"85281"	" "	" "	"DSM2044"	"RPM1211"				" "	"000-000-0000"	"000-000-0000"	"000-000-0000"	" "
"CAC01"	"Cachet Homes"	" "	1	"17200 N. Perimeter Dr."	"102"	"Scottsdale"	"AZ"	"85255"	" http://www.cachethomes.net/"	" "	"DSM2044"	"RPM1211"				" "	"480-556-7000"	"000-000-0000"	"480-556-7001"	" "
"CAN01"	"Canterra Homes"	" "	0	"8125 N. 86th Pl."	" "	"Scottsdale"	"AZ"	"85258"	" "	" "	"DSM2044"	"RPM1211"				" "	"480-222-8300"	"000-000-0000"	"000-000-0000"	" "
"CEN01"	"Centex Homes"	" "	1	"8665 E. Hartford Dr."	"Suite 200"	"Scottsdale"	"AZ"	"85255"	" "	"13815"	"DSM2044"	"RPM1211"		"AZ"		" "	"480-889-1016"	"000-000-0000"	"000-000-0000"	" "
"CHA01"	"Chaffey Arizona Inc."	" "	0	"4300 N. Miller Rd."	"217"	"Scottsdale"	"AZ"	"85251"	" "	" "	"DSM2044"	"RPM1211"				" "	"480-949-5981"	"000-000-0000"	"000-000-0000"	" "
"CNB01"	"C&B Construction"	"C&B Construction"	1	"1380 Bates Rd."	" "	"Cottonwood"	"AZ"	"86326"	" "	" "	"DSM2044"	"RPM1211"				" "	"000-000-0000"	"000-000-0000"	"000-000-0000"	" "
"COL01"	"Columbia Communities"		1	"17797 N. Perimeter Dr."	"Suite 115"	"Scottsdale"	"AZ"	"85255"		"18106"	"DSM2044"	"RPM1211"	"Scottsdale"	"AZ"						"500"	"17797 N. Perimeter Dr."
"CON01"	"Conquest Homes"		0	"8800 N. Gainey Center Dr."	"Suite 175"	"Scottsdale"	"AZ"	"85258"			"DSM2044"	"RPM1211"		"AZ"
"COP01"	"Copper State Custom"	" "	1	"42331 N. 3rd St."	" "	"Phoenix"	"AZ"	"85086"	" "	" "	"DSM2044"	"RPM1211"				" CUSTOM"	"623-465-5882"	"000-000-0000"	"000-000-0000"	" "
